sequence,score1,score2,score3,risk,finance,Value,personal,index
215,0.023,180.824917,0,0,1.15,2,0,4
216,3.101,152.129987,0,3,2.05,3,0,5
217,4.06,163.559425,0,4,0.5,2,10,5
218,3.066,196.635032,0,3,0.3,2,0,5
219,3.064,196.635032,0,3,0.2,2,0,6
220,4.151,182.47392,0,4,2.05,2,10,5
221,3.139,33.711963,0,3,3.95,1,0,2
222,3.091,166.291099,0,3,0.8,3,3,6
223,0.021,43.94985,0,0,1.05,1,0,4
224,0.014,166.291099,0,0,0.7,3,0,4
225,0.017,163.489825,0,0,0.85,3,0,4
226,4.116,196.635032,0,4,0.3,3,10,5
227,0.013,166.291099,0,0,0.65,2,0,4
228,0.021,123.183502,0,0,1.05,1,0,4
229,0.02,161.454891,0,0,1,2,0,4
230,0.006,163.559425,0,0,0.3,3,0,6
231,0.011,163.559425,0,0,0.55,2,0,4
232,0.017,166.291099,0,0,0.85,3,0,5
233,0.019,95.848267,0,0,0.95,1,0,4
234,0.011,196.635032,0,0,0.55,1,0,5
235,0.011,133.215492,0,0,0.55,1,0,4
236,4.144,187.138647,0,4,0.95,2,10,6
237,3.086,196.635032,0,3,0.55,2,3,5
238,0.013,164.104015,0,0,0.65,2,0,4
239,0.007,133.215492,0,0,0.35,2,0,5
240,0.017,166.221499,0,0,0.85,2,0,4
241,0.006,122.450263,0,0,0.3,3,0,6
242,3.074,196.635032,0,3,0.7,5,0,4
243,0.004,166.291099,0,0,0.2,2,0,5
244,3.083,191.798824,0,3,1.15,3,0,6
245,0.014,196.635032,0,0,0.7,2,0,4
246,3.077,191.798824,0,3,0.85,5,3,6
247,0.017,163.559425,0,0,0.85,2,0,4
248,0.019,166.291099,0,0,0.95,2,0,4
249,0.015,133.829682,0,0,0.75,2,0,4
250,0.025,87.481627,0,0,1.25,1,0,4
251,0.016,192.30151,0,0,0.8,2,0,4
252,0.017,133.215492,0,0,0.85,2,0,3
253,0.046,180.418835,0,0,2.3,3,0,6
254,3.074,135.377451,0,3,0.7,1,0,4
255,0.024,198.796991,0,0,0.45,2,3,5
256,0.017,163.559425,0,0,0.85,2,0,4
257,0.029,128.309684,0,0,0.7,2,3,4
258,3.14,126.1922,0,3,1,1,0,4
259,0.014,163.559425,0,0,0.7,3,0,5
260,0.003,196.635032,0,0,0.15,2,0,6
261,0.024,149.398313,0,0,1.2,2,0,4
262,0.023,203.633199,0,0,1.15,2,0,3
263,0.017,119.718589,0,0,0.85,2,0,4
264,0.017,163.559425,0,0,0.85,3,0,3
265,3.076,131.098008,0,3,0.8,1,0,5
266,0.167,98.977222,0,0,8.35,2,0,-1
267,0.037,120.557234,0,0,1.85,1,0,3
268,0.162,98.977222,0,0,8.1,2,0,-1
269,0.008,163.559425,0,0,0.4,2,0,5
270,5.06,96.220973,0,5,3,1,0,3
271,0.016,163.559425,0,0,0.8,2,0,5
272,3.148,92.09338,0,3,0.65,1,0,4
273,3.159,133.215492,0,3,0.45,2,3,5
274,0.006,196.635032,0,0,0.3,2,0,5
275,0.003,196.635032,0,0,0.15,2,0,6
276,0.009,133.215492,0,0,0.45,3,0,5
277,0.004,150.480984,0,0,0.2,2,0,5
278,0.019,163.559425,0,0,0.2,2,3,6
279,0.034,182.47392,0,0,1.7,2,0,5
280,0.006,166.221499,0,0,0.3,1,0,5
281,0.016,191.798824,0,0,0.8,2,0,6
282,0.006,163.559425,0,0,0.3,3,0,6
283,0.003,163.489825,0,0,0.15,3,0,6
284,0.024,133.215492,0,0,1.2,2,0,4
285,3.08,87.257172,0,3,1,3,0,4
286,0.028,187.465302,0,0,0.65,3,3,5
287,0.014,159.225903,0,0,0.7,2,0,3
288,3.126,163.559425,0,3,0.3,2,0,6
289,3.092,105.329969,0,3,1.6,3,0,2
290,0.005,196.635032,0,0,0.25,2,0,5
291,3.168,182.47392,0,3,1.65,5,0,6
292,0.053,119.05438,0,0,2.65,2,0,4
293,0.036,182.40432,0,0,1.8,2,0,5
294,0.022,128.379284,0,0,1.1,5,0,6
295,3.063,163.559425,0,3,0.15,2,0,5
296,3.181,161.454891,0,3,0.8,2,0,5
297,0.019,194.649547,0,0,0.95,2,0,5
298,3.126,196.635032,0,3,0.3,3,0,5
299,3.079,120.012644,0,3,0.95,3,0,6
300,3.069,166.291099,0,3,0.45,2,0,5
301,0.047,157.01067,0,0,2.35,1,0,4
302,0.012,163.559425,0,0,0.6,2,0,5
303,0.011,166.291099,0,0,0.55,3,0,6
304,0.016,158.723217,0,0,0.8,2,0,5
305,0.015,196.635032,0,0,0.75,2,0,6
306,0.021,157.630404,0,0,1.05,2,0,4
307,0.004,196.635032,0,0,0.2,2,0,5
308,0.036,182.47392,0,0,1.8,4,0,6
309,0.037,152.129987,0,0,1.85,3,0,5
310,3.149,196.635032,0,3,0.7,3,0,4
311,0.006,196.635032,0,0,0.3,2,0,6
312,0.043,149.398313,0,0,2.15,3,0,6
313,3.148,133.215492,0,3,0.65,2,0,5
314,0.017,157.630404,0,0,0.85,3,0,4
315,0.012,166.291099,0,0,0.6,2,0,4
316,0.046,119.05438,0,0,2.3,2,0,6
317,0.009,196.635032,0,0,0.45,2,0,5
318,0.007,166.291099,0,0,0.35,1,0,6
319,0.011,163.559425,0,0,0.55,2,0,5
320,4.185,166.291099,0,4,0.75,3,10,5
321,0.019,163.559425,0,0,0.95,2,0,4
322,0.01,133.215492,0,0,0.5,2,0,5
323,3.07,163.559425,0,3,0.5,2,0,6
324,0.031,153.088251,0,0,1.55,1,0,4
325,3.081,196.635032,0,3,0.3,2,3,5
326,0.006,192.30151,0,0,0.3,5,0,6
327,0.013,196.635032,0,0,0.65,3,0,5
328,3.072,118.019567,0,3,0.6,3,0,4
329,0.014,166.291099,0,0,0.7,2,0,4
330,4.069,166.291099,0,4,0.95,2,10,4
331,0.011,131.028408,0,0,0.55,1,0,5
332,0.036,182.47392,0,0,1.8,2,0,6
333,0.015,140.213659,0,0,0.75,2,0,3
334,0.02,196.635032,0,0,1,2,0,4
335,0.003,163.559425,0,0,0.15,3,0,6
336,4.071,128.379284,0,4,1.05,2,10,4
337,3.094,157.924459,0,3,0.95,2,0,5
338,0.017,171.171782,0,0,0.85,2,0,4
339,0.052,177.568112,0,0,2.6,3,0,5
340,3.067,157.630404,0,3,0.35,3,0,5
341,0.018,166.291099,0,0,0.15,7,3,5
342,3.063,163.559425,0,3,0.15,2,0,6
343,0.014,164.173615,0,0,0.7,2,0,4
344,0.009,163.489825,0,0,0.45,3,0,5
345,0.013,163.559425,0,0,0.65,3,0,6
346,3.051,196.635032,0,3,0.3,2,0,5
347,0.03,166.291099,0,0,0.75,3,3,5
348,0.009,164.104015,0,0,0.45,3,0,5
349,0.006,166.291099,0,0,0.3,2,0,5
350,3.152,94.210864,0,3,0.85,2,0,4
351,0.006,163.559425,0,0,0.3,2,0,6
352,0.011,163.559425,0,0,0.55,2,0,5
353,0.016,119.718589,0,0,0.8,1,0,4
354,0.003,158.653617,0,0,0.15,3,0,5
355,0.011,133.829682,0,0,0.55,2,0,4
356,4.062,158.723217,0,4,0.6,2,10,5
357,0.013,133.215492,0,0,0.65,1,0,5
358,0.014,92.09338,0,0,0.7,1,0,4
359,3.066,95.848267,0,3,1.05,2,0,4
360,0.019,119.05438,0,0,0.95,2,0,4
361,0.015,59.734293,0,0,0.75,2,0,4
362,0.013,166.291099,0,0,0.65,2,0,5
363,0.025,163.489825,0,0,1.25,2,0,4
364,0.009,166.291099,0,0,0.45,2,0,5
365,4.045,156.39648,0,4,2.25,3,0,4
366,3.075,92.09338,0,3,0.75,1,0,4
367,0.03,94.825054,0,0,0.75,1,3,4
368,0.007,163.559425,0,0,0.35,2,0,6
369,0.009,133.215492,0,0,0.45,3,0,5
370,0.023,120.332779,0,0,1.15,1,0,4
371,0.014,171.171782,0,0,0.7,1,0,4
372,0.009,158.653617,0,0,0.45,3,0,5
373,4.07,57.137694,0,4,1,1,10,4
374,0.009,196.635032,0,0,0.45,1,0,5
375,3.09,87.257172,0,3,1.5,1,0,4
376,0.014,196.635032,0,0,0.7,2,0,5
377,0.016,161.454891,0,0,0.8,3,0,5
378,0.019,131.028408,0,0,0.95,1,0,4
379,0.167,98.977222,0,0,8.35,2,0,-1
380,0.029,138.096175,0,0,1.45,1,0,4
381,0.006,196.635032,0,0,0.3,1,0,5
382,0.005,196.635032,0,0,0.25,2,0,5
383,0.012,161.454891,0,0,0.6,3,0,5
384,0.013,163.559425,0,0,0.65,3,0,5
385,0.013,161.454891,0,0,0.65,2,0,6
386,0.036,152.129987,0,0,1.8,2,0,5
387,0.006,163.489825,0,0,0.3,2,0,5
388,0.024,87.759858,0,0,1.2,1,0,4
389,0.006,196.635032,0,0,0.3,2,0,5
390,0.015,131.028408,0,0,0.75,2,0,4
391,4.056,163.559425,0,4,0.3,3,10,5
392,3.078,163.559425,0,3,0.9,2,0,4
393,0.017,131.028408,0,0,0.85,1,0,4
394,3.072,165.721384,0,3,0.6,3,0,4
395,0.004,163.559425,0,0,0.2,3,0,6
396,3.066,163.559425,0,3,0.3,2,0,5
397,0.017,24.554152,0,0,0.85,1,0,4
398,0.011,61.749447,0,0,0.55,1,0,4
399,3.042,100.8857,0,3,1.35,1,0,4
400,3.075,138.096175,0,3,0.75,1,0,4
401,0.012,94.504919,0,0,0.6,2,0,5
402,0.013,150.480984,0,0,0.65,2,0,4
403,0.02,198.796991,0,0,1,3,0,4
404,0.003,196.635032,0,0,0.15,3,0,6
405,0.017,166.335574,0,0,0.85,1,0,4
406,0.013,124.848852,0,0,0.65,2,0,5
407,0.011,158.723217,0,0,0.55,3,0,6
408,4.129,124.554797,0,4,0.95,4,10,3
409,3.067,163.559425,0,3,0.35,2,0,6
410,0.015,196.635032,0,0,0.75,2,0,4
411,3.077,196.635032,0,3,0.85,3,0,5
412,0.013,166.291099,0,0,0.65,2,0,4
413,3.071,163.559425,0,3,0.55,2,0,5
414,3.135,131.028408,0,3,0.75,1,0,4
415,3.073,166.291099,0,3,0.65,2,0,5
416,0.006,196.635032,0,0,0.3,2,0,5
417,0.004,163.559425,0,0,0.2,2,0,6
418,0.011,163.559425,0,0,0.55,2,0,5
419,4.079,132.166446,0,4,3.95,2,0,4
420,0.027,95.848267,0,0,1.35,1,0,4
421,0.004,166.291099,0,0,0.2,3,0,5
422,0.012,196.635032,0,0,0.6,2,0,5
423,0.166,98.977222,0,0,8.3,2,0,-1
424,0.009,166.291099,0,0,0.45,3,0,6
425,0.005,163.559425,0,0,0.25,2,0,6
426,0.026,159.267807,0,0,1.3,1,0,4
427,0.014,196.635032,0,0,0.7,2,0,4
428,4.069,163.489825,0,4,0.95,1,10,4
429,0.016,196.635032,0,0,0.8,2,0,3
430,0.013,196.635032,0,0,0.65,3,0,5
431,0.016,158.723217,0,0,0.8,3,0,6
432,3.125,187.465302,0,3,0.25,2,0,5
433,0.018,171.171782,0,0,0.9,1,0,4
434,0.017,126.1922,0,0,0.85,1,0,4
435,0.004,196.635032,0,0,0.2,2,0,5
436,3.066,163.559425,0,3,0.3,3,0,6
437,4.127,163.559425,0,4,0.85,3,10,3
438,0.017,158.653617,0,0,0.85,2,0,4
439,0.011,133.215492,0,0,0.55,2,0,5
440,0.017,163.559425,0,0,0.85,2,0,4
441,0.003,133.215492,0,0,0.15,1,0,6
442,0.009,163.559425,0,0,0.45,3,0,6
443,0.004,163.559425,0,0,0.2,3,0,6
444,0.008,166.291099,0,0,0.4,2,0,6
445,3.076,163.559425,0,3,0.8,2,0,6
446,0.02,161.454891,0,0,1,2,0,4
447,0.011,131.028408,0,0,0.55,1,0,4
448,0.004,166.291099,0,0,0.2,2,0,5
449,0.019,133.215492,0,0,0.95,2,0,4
450,0.018,133.215492,0,0,0.9,3,0,4
451,3.003,152.129987,0,3,0.15,2,0,5
452,0.031,182.47392,0,0,1.55,3,0,5
453,0.011,92.09338,0,0,0.55,1,0,4
454,0.017,124.554797,0,0,0.85,2,0,4
455,0.02,196.635032,0,0,1,2,0,4
456,0.009,124.554797,0,0,0.45,3,0,5
457,0.021,54.898085,0,0,1.05,1,0,4
458,0.049,163.559425,0,0,0.45,2,8,5
459,0.013,131.028408,0,0,0.65,1,0,4
460,0.031,128.379284,0,0,0.8,6,3,5
461,0.037,124.779252,0,0,1.85,2,0,4
462,0.053,152.129987,0,0,1.9,2,3,6
463,3.08,163.489825,0,3,0.25,1,3,6
464,3.131,165.721384,0,3,0.55,1,0,5
465,0.009,133.215492,0,0,0.45,3,0,6
466,3.069,196.635032,0,3,0.45,3,0,6
467,0.009,163.559425,0,0,0.45,2,0,5
468,0.039,182.47392,0,0,1.95,2,0,6
469,3.081,133.829682,0,3,1.05,2,0,4
470,0.01,196.635032,0,0,0.5,3,0,6
471,0.025,158.653617,0,0,1.25,2,0,4
472,0.013,157.630404,0,0,0.65,3,0,6
473,5.194,159.770493,0,5,3.45,1,10,4
474,0.019,131.028408,0,0,0.95,1,0,4
475,3.064,158.723217,0,3,0.95,1,0,5
476,0.012,61.749447,0,0,0.6,2,0,4
477,3.081,196.635032,0,3,1.05,2,0,4
478,0.018,124.848852,0,0,0.9,3,0,5
479,0.014,171.171782,0,0,0.7,1,0,4
480,3.073,166.291099,0,3,0.65,2,0,5
481,0.007,163.559425,0,0,0.35,2,0,5
482,0.019,95.848267,0,0,0.95,1,0,4
483,0.009,170.557592,0,0,0.45,3,0,4
484,0.01,163.489825,0,0,0.5,2,0,5
485,3.084,126.1922,0,3,1.2,1,0,4
486,0.031,106.168614,0,0,1.55,1,0,2
487,4.074,87.257172,0,4,1.2,1,10,4
488,0.025,92.09338,0,0,1.25,2,0,4
489,3.14,166.291099,0,3,0.25,2,0,5
490,0.006,163.559425,0,0,0.3,2,0,5
491,0.009,166.291099,0,0,0.45,3,0,5
